LAMMPS (29 Sep 2021 - Update 1)
KOKKOS mode is enabled (../kokkos.cpp:97)
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.0000000 0.0000000 0.0000000) to (4143.0751 57.106480 57.106480)
  64 by 1 by 1 MPI processor grid
  reading atoms ...
  360800 atoms
  read_data CPU = 5.052 seconds
800 atoms in group source
800 atoms in group detector
400 atoms in group edge
400 atoms in group edge_buf
120000 atoms in group buffer
WARNING: Using 'neigh_modify every 1 delay 0 check yes' setting during minimization (../min.cpp:188)
Neighbor list info ...
  update every 1 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.6
  ghost atom cutoff = 7.6
  binsize = 7.6, bins = 546 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Fixes cannot yet send exchange data in Kokkos communication, switching to classic exchange/border communication (../comm_kokkos.cpp:581)
Per MPI rank memory allocation (min/avg/max) = 2.376 | 4.616 | 9.668 Mbytes
Time Step Lx Pxx Pxy Pxz Ly Lz Pyy Pzz Pyz 
       0.075       75    4143.0751   0.42781076 -2.9157454e-12 -1.8804854e-12     57.10648     57.10648   -97.907588   -97.907588 1.9507735e-12 
       0.076       76    4143.0751   0.42599033 -2.4027327e-12 -1.2520333e-12     57.10648     57.10648    -97.90867    -97.90867 1.6317315e-12 
       0.077       77    4143.0751   0.42413843 -2.9061576e-12 -2.6592955e-12     57.10648     57.10648   -97.909784   -97.909784 2.7006012e-12 
       0.078       78    4143.0751   0.42250691 -2.9956142e-12 -3.34425e-12     57.10648     57.10648   -97.910763   -97.910763 2.8121732e-12 
       0.079       79    4143.0751   0.42078663 -1.8650484e-12 -2.7206513e-12     57.10648     57.10648   -97.911783   -97.911783 2.1544068e-12 
        0.08       80    4143.0751   0.41915132 -2.3987382e-12 -3.6775927e-12     57.10648     57.10648   -97.912747   -97.912747 2.9971535e-12 
       0.081       81    4143.0751   0.41758854 -1.9607823e-12 -3.1772998e-12     57.10648     57.10648   -97.913679   -97.913679 2.8914036e-12 
       0.082       82    4143.0751   0.41588568 -7.7213521e-13 -1.8131868e-12     57.10648     57.10648   -97.914704   -97.914704 1.4441335e-12 
       0.083       83    4143.0751   0.41424704 -1.3052209e-12 -3.8170205e-12     57.10648     57.10648   -97.915684   -97.915684 2.3487664e-12 
       0.084       84    4143.0751   0.41275708 -1.7124544e-12 -4.9288321e-12     57.10648     57.10648   -97.916565   -97.916565 2.6424216e-12 
       0.085       85    4143.0751   0.41125784 -1.0212937e-12 -3.3038456e-12     57.10648     57.10648   -97.917451   -97.917451 1.8430903e-12 
       0.086       86    4143.0751   0.40967899 -6.7004023e-13 -4.4331523e-12     57.10648     57.10648   -97.918396   -97.918396 2.8635942e-12 
       0.087       87    4143.0751   0.40821287 -1.1741326e-13 -4.2928105e-12     57.10648     57.10648   -97.919277   -97.919277 2.9696403e-12 
       0.088       88    4143.0751   0.40672004 1.8822803e-13 -2.624285e-12     57.10648     57.10648   -97.920168   -97.920168 2.0696124e-12 
       0.089       89    4143.0751   0.40524769 2.2541953e-13 -3.3342931e-12     57.10648     57.10648   -97.921038   -97.921038 2.7816836e-12 
