LAMMPS (29 Sep 2021 - Update 1)
KOKKOS mode is enabled (../kokkos.cpp:97)
  will use up to 2 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.0000000 0.0000000 0.0000000) to (436.86457 57.106480 57.106480)
  16 by 2 by 2 MPI processor grid
  reading atoms ...
  120800 atoms
  read_data CPU = 0.217 seconds
800 atoms in group source
800 atoms in group detector
0 atoms in group edge
0 atoms in group edge_buf
0 atoms in group buffer
WARNING: Using 'neigh_modify every 1 delay 0 check yes' setting during minimization (../min.cpp:188)
Neighbor list info ...
  update every 1 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.6
  ghost atom cutoff = 7.6
  binsize = 7.6, bins = 58 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Fixes cannot yet send exchange data in Kokkos communication, switching to classic exchange/border communication (../comm_kokkos.cpp:581)
Per MPI rank memory allocation (min/avg/max) = 2.301 | 2.470 | 2.508 Mbytes
Time Step Lx Pxx Pxy Pxz Ly Lz Pyy Pzz Pyz TotEng Temp Volume 
       0.062       62    436.86457    2.0335171  1.72909e-11 2.9663866e-10     57.10648     57.10648   -930.64457   -930.64457 -1.3255397e-11    -497263.4            0    1424680.9 
       0.063       63    436.86457    2.0102829 2.0871416e-11 1.9416953e-10     57.10648     57.10648   -930.65858   -930.65858 -2.3085453e-11    -497263.4            0    1424680.9 
       0.064       64    436.86457    1.9886282 5.1317894e-11 2.8517993e-10     57.10648     57.10648   -930.67142   -930.67142 -4.6970638e-11    -497263.4            0    1424680.9 
       0.065       65    436.86457     1.969666 6.304731e-11 2.0880676e-10     57.10648     57.10648   -930.68258   -930.68258 -1.2116992e-11    -497263.4            0    1424680.9 
       0.066       66    436.86457    1.9488026 6.3095752e-11 1.1464587e-10     57.10648     57.10648   -930.69497   -930.69497 2.9487007e-11    -497263.4            0    1424680.9 
       0.067       67    436.86457    1.9273004 8.3394235e-11 1.4479669e-10     57.10648     57.10648   -930.70793   -930.70793 4.119947e-11    -497263.4            0    1424680.9 
       0.068       68    436.86457    1.9088807 9.1719492e-11 1.4012208e-10     57.10648     57.10648   -930.71899   -930.71899 1.8128228e-12    -497263.4            0    1424680.9 
       0.069       69    436.86457    1.8893749 8.0822988e-11 7.7986481e-11     57.10648     57.10648   -930.73054   -930.73054 -3.7466827e-11    -497263.4            0    1424680.9 
        0.07       70    436.86457    1.8705453 1.0288809e-10 8.9440965e-11     57.10648     57.10648   -930.74163   -930.74163 -7.7069386e-11    -497263.4            0    1424680.9 
       0.071       71    436.86457    1.8529747 1.2132849e-10 1.0617505e-10     57.10648     57.10648   -930.75212   -930.75212 -9.4175164e-11    -497263.4            0    1424680.9 
       0.072       72    436.86457    1.8342637 8.2744471e-11 7.2790159e-11     57.10648     57.10648    -930.7634    -930.7634 -3.9704882e-11    -497263.4            0    1424680.9 
       0.073       73    436.86457     1.815758 1.0849647e-10 1.1350804e-10     57.10648     57.10648   -930.77447   -930.77447 -2.4090051e-12    -497263.4            0    1424680.9 
